物件編號,物件名稱,地區,地址,格局,坪數,樓層,屋齡,類型,價格
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
YS175338,至誠透天精選靜巷戶,士林區,士林區至誠路一段,3房(室)3廳2衛,46.71坪,1-2樓/2樓,50.2年,住宅,6980萬 → 5988萬
YS141429,清水模豪宅臻品-無相寓所,士林區,士林區忠誠路一段,--房(室)3廳--衛,50.14坪,9-10樓/10樓,11.8年,住宅,14800萬 → 10888萬
YS178508,陽明山球場旁土地,士林區,士林區菁山路,,459.53坪(地坪),,,土地,2528萬 → 2068萬
YS196960,永公路土地(送美屋),士林區,士林區永公路,,40.76坪(地坪),1,,土地,598萬
TS140177,057BH台北市士林區豪四房,士林區,士林區德行東路,4房(室)2廳2衛,35.67坪,5樓/5樓,43.2年,住宅,2288萬 → 2188萬
YS197298,陽明春曉農夫樂土,士林區,士林區力行段二小段,,330.39坪(地坪),,,土地,368萬
YS196773,芝山捷運景觀管理4房豪邸,士林區,士林區福華路,3房(室)2廳2衛,33.78坪,4樓/12樓,25.9年,住宅,6250萬 → 5980萬
YS142412,陽明山~秘境花園,士林區,士林區,,841.09坪(地坪),,,土地,21866萬 → 16688萬
YS178489,平整地每坪四萬可談,士林區,士林區菁山路,,172.93坪(地坪),,,土地,958萬 → 692萬
ZS176571,天母陽明山土地,士林區,士林區德行東路,,24.93坪,1樓/1樓,7.7年,土地,8900萬 → 7800萬
